"","1","2","3","4","5","6","7","8","9"
"002114411",255,148,110,71,61,49,53,45,57
"002115194",30,8,8,54,16,25,23,5,4
"002116697",142,68,99,62,43,46,47,42,40
"002129117",62,29,23,16,9,12,13,4,8
"002130896",108,37,149,14,5,10,15,3,5
"002131217",70,39,52,15,15,35,14,6,20
"002135093",58,26,11,11,11,12,7,7,1
"002136034",26,20,9,10,9,10,9,4,3
"002136877",1645,937,896,733,615,466,456,313,317
"002138568",215,129,134,129,64,80,58,51,32
"002139517",64,89,13,61,8,84,3,2,14
"002140390",23,13,13,20,10,8,9,6,10
"002140908",206,118,143,37,20,51,23,21,44
"002141927",33,30,36,25,11,18,9,3,5
"002145811",46,16,15,21,58,20,5,10,14
"002149656",80,57,42,47,39,22,54,25,18
"002150415",64,20,3,10,1,0,5,5,10
"002154045",317,211,234,181,189,134,83,79,76
"002154425",11,9,16,11,6,14,4,2,27
"002154433",140,99,64,33,81,44,33,19,27
"002157097",97,67,37,38,8,19,17,7,5
"002158418",12,72,31,15,13,2,0,1,1
"002159291",21,18,51,19,12,13,12,9,9
"002159796",22,28,7,15,12,7,3,1,5
"002160208",33,20,23,18,16,8,9,7,12
"002161375",22,58,4,5,0,0,41,1,2
"002161438",56,50,41,29,41,22,18,17,9
"002162162",137,84,65,64,67,35,24,24,33
"002163178",85,61,39,32,30,21,8,28,23
"002170470",20,7,16,12,5,14,12,4,13
"002170876",93,59,60,28,33,28,22,21,17
"002172237",42,23,21,10,8,4,12,6,4
"002173136",70,6,7,7,8,4,0,7,0
"002174378",37,31,27,19,16,9,16,8,5
"002174647",223,137,182,104,86,75,64,50,44
"002175123",176,45,20,26,136,161,68,43,29
"002176741",75,21,12,10,15,22,11,21,26
"002185551",376,238,227,189,139,131,114,77,94
"002185957",301,152,165,134,107,88,77,75,80
"002188035",431,289,228,192,170,140,115,80,63
"002194280",29,17,19,27,11,14,6,2,4
